R1ID,ID,Dist,Gen
576,3648,3,3
577,3649,3,3
578,3650,3,3
579,3651,3,3
580,3652,3,3
581,3845,3,3
582,3846,3,3
583,3847,3,3
584,3848,4,3
585,4041,4,3
586,4042,4,3
587,4043,3,3
588,4044,3,3
589,4237,4,3
590,4238,3,3
591,4239,3,3
592,4432,3,3
593,4433,3,3
594,4434,3,3
595,4435,3,3
596,4628,3,3
597,4629,3,3
598,4630,3,3
599,4823,4,3
600,4824,4,3
601,4825,4,3
602,4826,3,3
603,4827,3,3
604,4828,3,3
605,4829,3,3
606,4830,3,3
607,4831,3,3
608,4832,3,3
609,4833,3,3
610,4834,3,3
611,4835,3,3
612,4836,3,3
613,4837,3,3
614,4838,3,3
615,4839,3,3
616,4840,3,3
617,4841,3,3
618,4842,3,3
619,4651,3,3
620,4652,3,3
621,4653,3,3
622,4654,3,3
623,4655,3,3
624,4656,3,3
625,4657,3,3
626,4658,3,3
627,4659,3,3
628,4660,3,3
629,4661,3,3
630,4662,3,3
631,4663,3,3
632,4664,3,3
633,4665,3,3
634,4666,3,3
635,4667,3,3
636,4668,3,3
637,4669,3,3
638,4862,3,3
639,4863,3,3
640,4864,3,3
641,4865,3,3
642,4866,3,3
643,5059,3,3
644,5060,4,3
645,5061,4,3
646,5254,4,3
647,5255,4,3
648,5256,4,3
649,5257,4,3
650,5450,3,3
651,5451,3,3
652,5644,3,3
653,5645,4,3
654,5838,4,3
655,5839,4,3
656,6032,4,3
657,6225,4,3
658,6226,4,3
659,6419,5,3
660,6420,5,3
661,6613,4,3
662,6806,5,3
663,6999,5,3
664,7192,4,3
665,7385,4,3
666,7578,4,3
667,7771,4,3
668,7964,4,3
669,8157,4,3
670,8350,4,3
671,8543,4,3
672,8544,4,3
673,8737,4,3
674,8930,3,3
675,8931,4,3
676,9124,4,3
677,9317,4,3
678,9510,3,3
679,9511,3,3
680,9704,3,3
681,9705,4,3
682,9706,4,3
683,9899,4,3
684,9900,5,3
685,9901,5,3
686,10094,3,3
687,10095,3,3
688,10288,3,3
689,10289,3,3
690,10290,4,3
691,10483,4,3
692,10484,4,3
693,10485,5,3
694,10678,3,3
695,10679,3,3
696,10872,3,3
697,10873,3,3
698,10874,3,3
699,11067,4,3
700,11068,4,3
701,11069,4,3
702,11262,3,3
703,11263,3,3
704,11456,3,3
705,11457,4,3
706,11458,4,3
707,11651,4,3
708,11652,4,3
709,11653,4,3
710,11846,4,3
711,11847,3,3
712,11848,3,3
713,12041,3,3
714,12042,3,3
715,12043,3,3
