R4ID,ID,Dist,Ranitas+AF8-C4M,C4M
381,30790,1,0,0
382,30789,1,0,0
383,30595,1,0,0
384,30788,1,0,0
385,30594,1,0,0
386,30593,1,0,0
387,30399,2,0,0
388,30592,1,0,0
389,30205,1,0,0
390,30398,2,0,0
391,30012,1,0,0
392,29819,3,0,0
393,29625,1,0,0
394,29818,1,0,0
395,29432,1,0,0
396,29239,1,0,0
397,29046,1,0,0
398,28853,1,0,0
399,28659,2,0,0
400,28852,1,0,0
401,28465,1,0,0
402,28658,2,0,0
403,28271,1,0,0
404,28464,1,0,0
405,28077,2,0,0
406,28270,1,0,0
407,28076,2,0,0
408,27882,1,0,0
409,28075,2,0,0
410,27688,1,0,0
411,27881,1,0,0
412,27687,1,0,0
413,27493,2,0,0
414,27686,1,0,0
415,27492,2,0,0
416,27491,2,0,0
417,27490,3,0,0
418,27296,1,0,0
419,27489,3,0,0
420,27295,1,0,0
421,27294,1,0,0
422,27293,1,0,0
423,27292,1,0,0
424,27291,1,0,0
425,27097,1,0,0
426,27290,1,0,0
427,27096,1,0,0
428,27095,1,0,0
429,27094,1,0,0
430,27093,1,0,0
431,27092,1,0,0
432,27091,1,0,0
433,26897,1,0,0
434,27090,1,0,0
435,26896,2,0,0
436,26895,2,0,0
437,26894,2,0,0
438,26893,2,0,0
439,26892,2,0,0
440,26891,2,0,0
441,26890,1,0,0
442,26696,1,0,0
443,26889,1,0,0
444,26695,1,0,0
445,26694,1,0,0
446,26693,1,0,0
447,26692,1,0,0
448,26691,1,0,0
449,26690,1,0,0
450,26496,1,0,0
451,26689,1,0,0
452,16511,3,0,0
453,16703,2,0,0
454,16895,2,0,0
455,17087,2,0,0
456,17279,2,0,0
457,17470,2,0,0
458,17662,3,0,0
459,17854,3,0,0
460,18046,3,0,0
461,18237,3,0,0
462,18429,2,0,0
463,18621,2,0,0
464,18813,2,0,0
465,19004,2,0,0
466,19196,2,0,0
467,19387,2,0,0
468,19578,3,0,0
469,19577,2,0,0
470,19768,2,0,0
471,19767,2,0,0
472,19958,2,0,0
473,19957,2,0,0
474,20148,3,0,0
475,20147,3,0,0
476,20146,3,0,0
477,20145,3,0,0
478,20336,3,0,0
479,20335,3,0,0
480,20334,3,0,0
481,20333,3,0,0
482,20332,3,0,0
483,20331,3,0,0
484,20137,4,0,0
485,20330,4,0,0
486,20136,4,0,0
487,20135,4,0,0
488,20134,4,0,0
489,19940,2,0,0
490,20133,4,0,0
491,19939,2,0,0
492,19938,2,0,0
493,19937,2,0,0
494,19936,2,0,0
495,19742,2,0,0
496,19935,2,0,0
497,19741,2,0,0
498,19740,2,0,0
499,19739,2,0,0
500,19738,2,0,0
501,19737,2,0,0
502,19736,2,0,0
503,19735,2,0,0
504,19734,2,0,0
505,19733,2,0,0
506,19732,2,0,0
507,19731,2,0,0
508,19730,2,0,0
509,19729,2,0,0
510,19728,2,0,0
511,19727,2,0,0
512,19726,2,0,0
513,19725,2,0,0
514,19724,2,0,0
515,19916,2,0,0
516,20107,3,0,0
517,20299,3,0,0
518,20491,3,0,0
519,20682,2,0,0
520,20874,2,0,0
521,21065,2,0,0
522,21256,3,0,0
523,21447,3,0,0
524,21638,2,0,0
525,21829,3,0,0
526,22020,3,0,0
527,22211,2,0,0
528,22402,3,0,0
529,22593,3,0,0
530,22784,2,0,0
531,22975,3,0,0
532,23166,3,0,0
533,23357,2,0,0
534,23548,3,0,0
535,23739,3,0,0
536,23930,2,0,0
537,24121,3,0,0
538,24312,3,0,0
539,24503,2,0,0
540,24694,3,0,0
541,24885,3,0,0
542,25076,2,0,0
543,25267,4,0,0
544,25458,4,0,0
545,25649,2,0,0
546,25840,4,0,0
547,26031,2,0,0
548,26222,2,0,0
549,26221,2,0,0
550,26412,4,0,0
551,26604,2,0,0
552,26795,2,0,0
553,26986,2,0,0
554,27178,3,0,0
555,27369,3,0,0
556,27561,2,0,0
557,27753,2,0,0
558,27944,2,0,0
559,28136,2,0,0
560,28328,2,0,0
561,28519,2,0,0
562,28711,3,0,0
563,28903,3,0,0
564,29094,3,0,0
565,29286,3,0,0
566,29478,3,0,0
567,29669,2,0,0
568,29860,3,0,0
569,30051,3,0,0
570,30242,2,0,0
571,30433,3,0,0
572,30624,3,0,0
573,30815,2,0,0
574,30814,2,0,0
575,31005,3,0,0
576,31196,3,0,0
577,31195,2,0,0
578,31386,2,0,0
579,31385,2,0,0
580,31384,2,0,0
581,31383,2,0,0
582,31382,2,0,0
583,31381,2,0,0
584,31572,3,0,0
585,31571,3,0,0
586,31570,2,0,0
587,31569,2,0,0
588,31568,2,0,0
589,31374,2,0,0
590,31567,2,0,0
591,31373,2,0,0
592,31372,2,0,0
593,31178,4,0,0
594,31371,2,0,0
595,31177,4,0,0
596,30983,4,0,0
597,31176,4,0,0
598,30982,3,0,0
599,30981,3,0,0
600,30787,2,0,0
601,30980,3,0,0
602,30786,2,0,0
603,30785,2,0,0
604,30591,3,0,0
605,30784,2,0,0
606,30204,2,0,0
607,30397,3,0,0
608,30590,3,0,0
609,30011,4,0,0
610,29624,2,0,0
611,29817,2,0,0
612,30010,2,0,0
613,29431,2,0,0
