R3ID,ID,Dist
426,19335,1
427,19336,1
428,19337,1
429,19529,2
430,19721,1
431,19912,1
432,20104,1
433,20296,1
434,20487,1
435,20679,1
436,20870,1
437,21061,1
438,21252,1
439,21443,1
440,21634,1
441,21825,1
442,22016,1
443,22207,1
444,22398,1
445,22589,1
446,22780,1
447,22971,1
448,23162,1
449,23353,1
450,23544,1
451,23735,1
452,23926,1
453,24117,1
454,24308,1
455,24499,1
456,24690,1
457,24881,1
458,25072,1
459,25263,1
460,25454,1
461,25645,2
462,25836,1
463,26027,1
464,26218,1
465,26409,1
466,26600,1
467,26791,1
468,26983,1
469,27174,1
470,27366,1
471,27558,1
472,27749,3
473,27941,3
474,28133,1
475,28324,1
476,28516,1
477,28708,1
478,28899,1
479,29091,1
480,29283,1
481,29474,1
482,29665,1
483,29856,1
484,30047,1
485,30238,1
486,30429,1
487,30428,1
488,30619,1
489,30618,1
490,30809,1
491,30808,3
492,30807,3
493,30806,3
494,30805,3
495,30804,3
496,30995,1
497,30994,1
498,30993,1
499,30992,1
500,30799,3
501,30798,3
502,30797,3
503,30796,3
504,30603,1
505,30602,1
506,30601,1
507,30600,1
508,30407,1
509,30406,1
510,30405,1
511,30212,4
512,30211,4
513,30210,4
514,30209,4
515,30016,1
516,30015,1
517,29822,1
518,29629,3
519,29628,3
520,29435,1
521,29242,1
522,29049,4
523,28856,1
524,28663,1
525,28470,4
526,28469,4
527,28276,1
528,28275,1
529,28082,1
530,28081,1
531,27888,3
532,27887,3
533,27886,2
534,27693,1
535,27692,1
536,27499,1
537,27498,1
538,27305,4
539,27304,3
540,27303,3
541,27110,1
542,27109,1
543,27108,1
544,27107,1
545,27106,1
546,26913,1
547,26912,1
548,26911,1
549,26910,1
550,26909,1
551,26908,1
552,26907,1
553,26714,1
554,26713,2
555,26712,2
556,26711,2
557,26710,2
558,26709,2
559,26708,2
560,26707,1
561,26706,1
562,26513,1
563,26512,1
564,26511,1
565,26510,1
566,26509,1
567,26508,1
568,26507,1
569,26506,1
570,26313,1
571,26312,1
572,26311,1
573,26310,1
574,26309,1
575,26308,1
576,26307,1
577,26306,1
578,26113,4
579,26112,4
580,11328,2
581,11329,2
582,11522,2
583,11523,2
584,11524,2
585,11717,2
586,11718,2
587,11911,2
588,11912,2
589,12105,2
590,12106,2
591,12299,2
592,12300,2
593,12493,2
594,12494,2
595,12495,2
596,12688,2
597,12689,2
598,12882,2
599,12883,2
600,13076,2
601,13077,2
602,13270,2
603,13271,2
604,13272,2
605,13465,2
606,13658,2
607,13659,2
608,13660,2
609,13853,2
610,13854,2
611,14047,2
612,14048,3
613,14241,3
614,14242,3
615,14435,2
616,14436,2
617,14629,3
618,14630,3
619,14823,3
620,14824,3
621,14825,2
622,15018,2
623,15019,2
624,15020,2
625,15021,2
626,15214,3
627,15215,3
628,15216,3
629,15409,3
630,15410,3
631,15411,3
632,15604,2
633,15605,2
634,15606,2
635,15799,2
636,15800,2
637,15801,2
638,15994,2
639,15995,2
640,15996,2
641,16189,2
642,16190,2
643,16191,2
644,16192,2
645,16193,2
646,16386,3
647,16387,3
648,16388,3
649,16389,3
650,16582,3
651,16583,3
652,16584,3
653,16585,3
654,16778,2
655,16779,2
656,16780,2
657,16973,3
658,16974,3
659,17167,3
660,17168,2
661,17169,2
662,17362,2
663,17363,2
664,17556,3
665,17557,3
666,17750,2
667,17751,2
668,17752,2
669,17945,2
670,17946,2
671,18139,2
672,18140,2
673,18141,2
674,18334,3
675,18335,3
676,18528,2
677,18529,2
678,18530,2
679,18723,2
680,18724,2
681,18725,2
682,18918,2
683,18919,2
684,18920,2
685,19113,2
686,19114,2
687,19115,2
688,19116,2
689,19117,2
690,19118,2
691,19119,2
692,19120,2
693,19313,2
694,19314,2
695,19315,2
696,19316,2
697,19317,2
698,19318,2
699,19319,2
700,19320,2
701,19513,3
702,19514,3
703,19515,3
704,19516,3
705,19517,3
706,19518,3
707,19519,3
708,19520,3
709,19521,3
710,19522,3
711,19523,3
712,19524,2
713,19525,2
714,19526,2
715,19527,2
716,19528,2
717,19720,2
718,19911,2
719,20103,2
720,20295,2
721,20486,4
722,20678,2
723,20869,2
724,21060,2
725,21251,2
726,21442,2
727,21633,2
728,21824,2
729,22015,2
730,22206,2
731,22397,2
732,22588,2
733,22779,2
734,22970,2
735,23161,2
736,23352,2
737,23543,2
738,23734,2
739,23925,2
740,24116,2
741,24307,2
742,24498,2
743,24689,2
744,24880,2
745,25071,2
746,25262,2
747,25453,3
748,25644,3
749,25835,2
750,26026,2
751,26217,2
752,26408,2
753,26599,2
754,26790,2
755,26982,2
756,27173,4
757,27365,4
758,27557,4
759,27748,4
760,27940,4
761,28132,2
762,28323,2
763,28515,2
764,28707,2
765,28898,4
766,29090,4
767,29282,2
